device: cuda | AMP: True
building validation set (20 batches x 1024) -- one-time scan of the PGN for held-out games...
  cached 20 validation batches (20480 positions)
step   19400 | lr 9.79e-04 | total 3.196 | policy 1.570 (acc 0.487) | value 0.552 | aux 1.0730 | 16488 pos/s
step   19500 | lr 9.79e-04 | total 3.150 | policy 1.602 (acc 0.480) | value 0.487 | aux 1.0613 | 16921 pos/s
step   19600 | lr 9.79e-04 | total 3.147 | policy 1.610 (acc 0.478) | value 0.480 | aux 1.0567 | 16588 pos/s
step   19700 | lr 9.79e-04 | total 3.144 | policy 1.626 (acc 0.473) | value 0.458 | aux 1.0597 | 17692 pos/s
step   19800 | lr 9.78e-04 | total 3.143 | policy 1.618 (acc 0.476) | value 0.469 | aux 1.0562 | 17158 pos/s
step   19900 | lr 9.78e-04 | total 3.107 | policy 1.588 (acc 0.484) | value 0.468 | aux 1.0511 | 17238 pos/s
step   20000 | lr 9.78e-04 | total 3.118 | policy 1.585 (acc 0.484) | value 0.485 | aux 1.0480 | 16922 pos/s
  checkpoint -> checkpoints/step_00020000.pt
  [val] total 3.054 | policy 1.609 (acc 0.478) | value 0.403 | aux 1.0420
step   20100 | lr 9.78e-04 | total 3.064 | policy 1.567 (acc 0.491) | value 0.454 | aux 1.0422 | 17953 pos/s
step   20200 | lr 9.77e-04 | total 3.057 | policy 1.568 (acc 0.491) | value 0.447 | aux 1.0420 | 17582 pos/s
step   20300 | lr 9.77e-04 | total 3.111 | policy 1.598 (acc 0.483) | value 0.460 | aux 1.0525 | 16592 pos/s
step   20400 | lr 9.77e-04 | total 3.158 | policy 1.608 (acc 0.479) | value 0.492 | aux 1.0574 | 17468 pos/s
step   20500 | lr 9.77e-04 | total 3.159 | policy 1.627 (acc 0.474) | value 0.479 | aux 1.0532 | 17591 pos/s
step   20600 | lr 9.76e-04 | total 3.158 | policy 1.628 (acc 0.473) | value 0.473 | aux 1.0568 | 16960 pos/s
step   20700 | lr 9.76e-04 | total 3.153 | policy 1.620 (acc 0.475) | value 0.476 | aux 1.0566 | 18525 pos/s
step   20800 | lr 9.76e-04 | total 3.132 | policy 1.601 (acc 0.481) | value 0.482 | aux 1.0495 | 17443 pos/s
